Região Metropolitana - RIDE,Rede geral - sem informação de canalização,Poço ou nascente - sem informação de canalização,Poço ou nascente fora da propriedade,Carro-Pipa,Água da chuva armazenada em cisterna,Água da chuva armazenada outra forma,"Rio, açude, lago ou igarapé",Poço ou nascente na aldeia,Poço ou nascente fora da aldeia,Outra,Total
São Paulo,19084981,296324,51960,20671,555,1505,3420,562,0,100156,19560134
Baixada Santista,1590079,13132,23855,88,95,701,4290,32,0,21964,1654236
Campinas,2685067,85355,13449,1357,49,66,704,0,0,5312,2791359
Vale do Paraíba 1,922329,37325,8654,1747,36,17,445,0,0,1059,971612
Vale do Paraíba 2,508294,26239,14001,120,11,7,503,0,0,507,549682
Vale do Paraíba 3,300312,17490,5927,28,14,7,422,0,0,360,324560
Vale do Paraíba 4,108390,6417,4597,21,8,12,515,0,0,116,120076
Vale do Paraíba 5,225262,6607,35035,7,9,74,12117,13,141,593,279858
Jundiaí,627425,61096,5662,649,15,20,155,0,0,1132,696154
Piracicaba,1250578,39617,8094,856,23,45,285,0,0,854,1300352
Sorocaba,1516063,168302,21744,2153,98,96,1549,0,0,2615,1712620
Interior (Fora RM),10022582,772397,158645,3575,1376,306,10398,661,2,12615,10982557
Total,38841362,1530301,351623,31272,2289,2856,34803,1268,143,147283,40943200
